Produk,Kecamatan,Q2018,Q2019,Q2020,Q2021,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12
SP36,Rantau Bayur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Banyuasin III, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Makarti Jaya, 290, 51, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Talang Kelapa, 16, 16, 0, 11, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 0, 0, 0, 0, 0
SP36,Betung, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Sembawa, 112, 32, 44, 102, 0, 48, 0, 32, 24, 0, 0, 0, 0, 8, 0, 0, 0, 24, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0
SP36,Muara Telang, 2409, 1913, 1074, 10, 80, 300, 231, 223, 231, 136, 326, 258, 311, 155, 0, 158, 120, 523, 403, 317, 110, 0, 140, 50, 0, 0, 180, 20, 0, 212, 280, 80, 30, 0, 180, 40, 70, 91, 55, 35, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0
SP36,Air Saleh, 788, 1002, 677, 0, 0, 100, 100, 100, 139, 78, 60, 0, 160, 10, 10, 30, 0, 175, 326, 301, 30, 0, 30, 0, 0, 0, 20, 70, 0, 71, 50, 90, 52, 0, 43, 70, 30, 11, 220, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Suak Tapeh, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Rambutan, 176, 161, 82, 0, 0, 32, 16, 40, 24, 24, 8, 0, 0, 0, 16, 16, 16, 0, 33, 41, 31, 16, 8, 0, 0, 0, 0, 16, 0, 0, 0, 16, 0, 24, 26, 0, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Pulau Rimau, 349, 35, 52, 134, 10, 48, 30, 8, 9, 9, 18, 19, 39, 70, 40, 49, 0, 9, 0, 0, 0, 0, 9, 9, 8, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 8, 26, 0, 0, 0, 0, 0, 10, 10, 10, 10, 0, 20, 0, 0
SP36,Selat Penuguan, 0, 120, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 0, 0, 0, 20, 20, 0, 30, 20, 20, 30, 10, 0, 0, 30, 0, 20, 0, 50, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Muara Sugihan, 973, 970, 826, 4, 30, 20, 25, 61, 116, 50, 77, 64, 160, 280, 0, 90, 0, 60, 120, 230, 193, 0, 119, 0, 30, 0, 160, 58, 85, 31, 30, 50, 20, 110, 180, 20, 70, 170, 60, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
SP36,Muara Padang, 270, 111, 50, 83, 0, 0, 0, 0, 10, 0, 30, 0, 50, 150, 0, 30, 0, 0, 0, 0, 0, 0, 20, 0, 30, 10, 18, 33, 0, 0, 0, 0, 0, 20, 0, 0, 0, 20, 10, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 15, 0, 10 
SP36,Banyuasin I, 9, 18, 11, 54, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 3, 0, 2, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0
SP36,Tanjung Lago, 1363, 1048, 864, 0, 0, 140, 0, 360, 152, 0, 8, 96, 124, 327, 92, 64, 0, 226, 106, 198, 127, 32, 0, 32, 0, 124, 0, 145, 40, 168, 0, 118, 138, 60, 40, 0, 0, 180, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Banyuasin II, 250, 0, 0, 0, 0, 10, 0, 0, 10, 0, 20, 0, 40, 110, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Karang Agung Ilir, 0, 100, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SP36,Tungkal Ilir, 257, 198, 174, 380, 0, 24, 33, 48, 64, 0, 8, 0, 40, 24, 0, 16, 17, 24, 8, 9, 17, 0, 32, 33, 0, 0, 42, 16, 17, 32, 17, 16, 8, 0, 16, 0, 25, 0, 0, 42, 0, 0, 36, 49, 0, 49, 0, 44, 33, 0, 33, 18 
SP36,S Marga Telang, 266, 220, 201, 62, 10, 30, 0, 0, 0, 0, 0, 0, 20, 120, 86, 0, 0, 0, 0, 0, 0, 40, 0, 0, 110, 0, 70, 0, 55, 60, 10, 20, 20, 20, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 11 
SP36,Air Kumbang, 370, 276, 71, 389, 0, 170, 0, 62, 31, 0, 70, 0, 17, 0, 0, 20, 0, 77, 66, 30, 57, 28, 18, 0, 0, 0, 0, 0, 0, 0, 20, 20, 0, 0, 0, 0, 0, 21, 0, 10, 0, 0, 10, 10, 0, 0, 40, 85, 90, 20, 60, 20 
UREA,Rantau Bayur, 83, 120, 140, 450, 0, 8, 16, 24, 0, 19, 0, 0, 0, 0, 16, 0, 0, 8, 8, 40, 16, 0, 8, 16, 0, 0, 16, 8, 0, 8, 24, 72, 0, 0, 0, 16, 16, 0, 0, 4, 0, 0, 8, 64, 0, 8, 24, 0, 8, 0, 0, 0
UREA,Banyuasin III, 35, 0, 62, 96, 0, 0, 24, 0, 3, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 16, 0, 0, 24, 6, 0, 0, 0, 16, 8, 8, 8, 0, 8, 0, 8, 0, 0
UREA,Makarti Jaya, 996, 570, 1142, 776, 30, 30, 63, 10, 10, 0, 0, 0, 0, 225, 230, 399, 80, 70, 30, 30, 20, 20, 0, 0, 0, 30, 290, 0, 320, 160, 10, 100, 50, 0, 0, 25, 70, 30, 160, 110, 0, 39, 30, 27, 30, 10, 30, 30, 57, 50, 58, 167 
UREA,Talang Kelapa, 78, 45, 79, 50, 8, 16, 6, 0, 0, 0, 0, 8, 19, 4, 0, 9, 0, 24, 0, 0, 0, 0, 7, 0, 14, 0, 0, 0, 0, 0, 20, 0, 4, 0, 0, 24, 0, 0, 0, 30, 0, 0, 6, 22, 0, 0, 0, 0, 0, 0, 0, 20 
UREA,Betung, 25, 0, 0, 0, 0, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
UREA,Sembawa, 96, 33, 128, 200, 0, 0, 24, 8, 0, 16, 0, 0, 0, 8, 32, 8, 0, 0, 0, 8, 0, 8, 8, 0, 8, 0, 1, 0, 0, 8, 16, 0, 0, 8, 8, 16, 24, 24, 16, 8, 0, 0, 16, 0, 3, 5, 16, 8, 8, 3, 0, 69 
